,k,network_n,search_n,jumps
1262,4,2,62,1
1263,4,2,63,2
1264,4,2,64,0
1265,4,2,65,1
1266,4,2,66,0
1267,4,2,67,2
1268,4,2,68,3
1269,4,2,69,3
1270,4,2,70,2
1271,4,2,71,1
1272,4,2,72,3
1273,4,2,73,0
1274,4,2,74,2
1275,4,2,75,2
1276,4,2,76,2
1277,4,2,77,3
1278,4,2,78,2
1279,4,2,79,1
1280,4,2,80,2
1281,4,2,81,1
1282,4,2,82,0
1283,4,2,83,2
1284,4,2,84,2
1285,4,2,85,2
1286,4,2,86,1
1287,4,2,87,0
1288,4,2,88,0
1289,4,2,89,0
1290,4,2,90,2
1291,4,2,91,0
1292,4,2,92,2
1293,4,2,93,1
1294,4,2,94,0
1295,4,2,95,3
1296,4,2,96,0
1297,4,2,97,2
1298,4,2,98,2
1299,4,2,99,2
1300,4,3,0,0
1301,4,3,1,3
1302,4,3,2,3
1303,4,3,3,1
1304,4,3,4,3
1305,4,3,5,2
1306,4,3,6,1
1307,4,3,7,1
1308,4,3,8,2
1309,4,3,9,2
1310,4,3,10,1
1311,4,3,11,1
1312,4,3,12,2
1313,4,3,13,1
1314,4,3,14,2
1315,4,3,15,1
1316,4,3,16,0
1317,4,3,17,0
1318,4,3,18,0
1319,4,3,19,0
1320,4,3,20,1
1321,4,3,21,1
1322,4,3,22,0
1323,4,3,23,1
1324,4,3,24,1
1325,4,3,25,2
1326,4,3,26,3
1327,4,3,27,2
1328,4,3,28,3
1329,4,3,29,1
1330,4,3,30,3
1331,4,3,31,3
1332,4,3,32,0
1333,4,3,33,1
1334,4,3,34,3
1335,4,3,35,3
1336,4,3,36,0
1337,4,3,37,2
1338,4,3,38,2
1339,4,3,39,3
1340,4,3,40,1
1341,4,3,41,1
1342,4,3,42,2
1343,4,3,43,2
1344,4,3,44,0
1345,4,3,45,2
1346,4,3,46,1
1347,4,3,47,1
1348,4,3,48,2
1349,4,3,49,2
1350,4,3,50,2
1351,4,3,51,2
1352,4,3,52,2
1353,4,3,53,3
1354,4,3,54,3
